Date,Open,High,Low,Close,Adj Close,Volume
2023-09-06,33.349998,33.799999,33.220001,33.520000,30.092796,57856500
2023-09-08,33.480000,33.669998,33.259998,33.400002,29.985064,39074100
2023-09-11,33.470001,33.689999,33.330002,33.369999,29.958132,30276200
2023-09-12,33.549999,33.779999,33.490002,33.529999,30.101770,31963000
2023-09-13,33.650002,33.700001,33.029999,33.029999,29.652893,47685700
2023-09-14,33.099998,34.000000,33.099998,33.869999,30.407009,46502100
2023-09-15,33.869999,33.990002,33.610001,33.889999,30.424965,54801500
2023-09-18,34.000000,34.709999,33.849998,34.130001,30.640425,52363400
2023-09-19,34.209999,34.619999,34.070000,34.209999,30.712248,43247200
2023-09-20,34.150002,34.610001,34.009998,34.290001,30.784065,39102300
2023-09-21,34.000000,34.290001,33.630001,33.759998,30.308254,60109400
2023-09-22,34.020000,34.189999,33.810001,34.029999,30.550652,31020500
2023-09-25,33.950001,34.330002,33.930000,34.250000,30.748159,26767200
2023-09-26,34.000000,34.090000,33.459999,33.459999,30.038927,60687500
2023-09-27,33.860001,34.520000,33.779999,34.520000,30.990553,53708700
2023-09-28,34.450001,34.540001,34.209999,34.450001,30.927710,30765000
2023-09-29,34.500000,34.689999,34.250000,34.639999,31.098280,40227600
2023-10-02,34.549999,34.770000,33.930000,34.119999,30.631447,34403400
2023-10-03,33.970001,34.230000,33.630001,33.970001,30.496788,37947300
2023-10-04,33.599998,33.709999,32.389999,32.619999,29.284813,88895900
2023-10-05,32.509998,32.939999,32.290001,32.730000,29.383566,35342000
2023-10-06,32.599998,33.820000,32.330002,33.509998,30.083817,48132800
2023-10-09,34.150002,35.080002,34.099998,34.950001,31.376589,77528400
2023-10-10,34.900002,35.340000,34.740002,35.209999,31.610003,48326500
2023-10-11,35.139999,35.250000,34.490002,35.119999,31.529202,41578500
2023-10-13,35.790001,36.360001,35.779999,36.279999,32.570602,66943700
2023-10-16,36.400002,36.799999,35.959999,36.680000,32.929703,49626600
2023-10-17,36.700001,37.669998,36.630001,37.669998,33.818481,68814800
2023-10-18,37.990002,38.610001,37.910000,38.520000,34.581577,85931700
2023-10-19,38.360001,38.470001,37.919998,38.340000,34.419979,56016600
2023-10-20,38.689999,38.860001,37.389999,37.849998,33.980080,66242400
2023-10-23,36.590000,36.799999,35.259998,35.349998,31.735689,104499100
2023-10-24,35.650002,36.189999,35.169998,35.880001,32.211498,78634900
2023-10-25,36.080002,36.279999,35.750000,36.070000,32.382076,32846500
2023-10-26,35.849998,35.930000,35.150002,35.700001,32.049908,47858600
2023-10-27,36.209999,36.459999,35.169998,35.439999,31.816484,45843100
2023-10-30,35.580002,35.720001,34.860001,35.080002,31.493296,31346900
2023-10-31,35.009998,35.180000,34.490002,34.740002,31.188059,36965200
2023-11-01,35.020000,35.540001,34.900002,35.119999,31.529202,46335300
2023-11-03,35.790001,35.889999,35.049999,35.540001,31.906263,30959700
2023-11-06,35.740002,36.130001,35.509998,35.509998,31.879328,33583600
2023-11-07,35.070000,35.419998,34.660000,34.919998,31.349653,48919900
2023-11-08,34.599998,34.799999,33.910000,34.169998,30.676338,59742900
2023-11-09,34.500000,35.150002,34.360001,34.880001,31.313745,56231100
2023-11-10,34.660000,35.060001,34.509998,34.720001,31.170105,40004800
